artist_id,name,genre,popularity_score
181,Miles Davis,jazz,0.65
182,Bobby Darin,jazz,0.62
183,GRiZ,jazz,0.58
184,Tulus,jazz,0.76
185,Bill Evans,jazz,0.64
186,Kris Bowers,jazz,0.63
187,Count Basie,jazz,0.64
188,George Benson,jazz,0.66
189,James Brown,jazz,0.64
190,Tom Misch,jazz,0.66
191,Quincy Jones,jazz,0.64
192,"Grover Washington, Jr.",jazz,0.64
193,Natalie Cole,jazz,0.64
194,Eartha Kitt,jazz,0.6
195,Caravan Palace,jazz,0.62
196,João Gilberto,jazz,0.65
197,Bonobo,jazz,0.64
198,Jon Batiste,jazz,0.6
199,Barry Can't Swim,jazz,0.65
200,De La Soul,jazz,0.61
201,Johann Sebastian Bach,classical,0.79
202,Ludovico Einaudi,classical,0.8
203,Wolfgang Amadeus Mozart,classical,0.77
204,London Symphony Orchestra,classical,0.75
205,Berliner Philharmoniker,classical,0.75
206,Frédéric Chopin,classical,0.75
207,Ludwig van Beethoven,classical,0.73
208,Pyotr Ilyich Tchaikovsky,classical,0.71
209,Joe Hisaishi,classical,0.71
210,Antonio Vivaldi,classical,0.72
211,Claude Debussy,classical,0.7
212,Andrea Bocelli,classical,0.72
213,Howard Shore,classical,0.69
214,Johannes Brahms,classical,0.7
215,Herbert von Karajan,classical,0.7
216,Yo-Yo Ma,classical,0.67
217,Erik Satie,classical,0.68
218,Antônio Carlos Jobim,classical,0.7
219,Wiener Philharmoniker,classical,0.69
220,Academy of St. Martin in the Fields,classical,0.68
221,Camille Saint-Saëns,classical,0.67
222,Sir Simon Rattle,classical,0.66
223,Gustavo Santaolalla,classical,0.66
224,Sir Neville Marriner,classical,0.67
225,George Frideric Handel,classical,0.67
226,Jóhann Jóhannsson,classical,0.66
227,Henry Smith,classical,0.66
228,Sergei Rachmaninoff,classical,0.65
229,Lang Lang,classical,0.65
230,I Virtuosi Italiani,classical,0.68
231,Alexis Ffrench,classical,0.65
232,Edvard Grieg,classical,0.64
233,Víkingur Ólafsson,classical,0.63
234,Yiruma,classical,0.67
235,Claudio Abbado,classical,0.66
236,Nobuo Uematsu,classical,0.62
237,Gabriel Fauré,classical,0.63
238,Franz Liszt,classical,0.64
239,Franz Schubert,classical,0.65
240,Itzhak Perlman,classical,0.63
241,Ólafur Arnalds,classical,0.65
242,Leonard Bernstein,classical,0.62
243,Daniel Barenboim,classical,0.64
244,Antonín Dvořák,classical,0.63
245,Jean-Yves Thibaudet,classical,0.6
246,Felix Mendelssohn,classical,0.63
247,New York Philharmonic,classical,0.61
248,Harold Budd,classical,0.59
249,Philip Glass,classical,0.61
250,Trans-Siberian Orchestra,classical,0.55
251,Gene Pokorny,pop,0.14
252,Taylor Swift,pop,1.0
253,Drake,pop,0.96
254,The Weeknd,pop,0.96
255,Billie Eilish,pop,0.96
256,Sabrina Carpenter,pop,0.94
257,Bruno Mars,pop,0.96
258,Post Malone,pop,0.91
259,SZA,pop,0.9
260,Lil Wayne,pop,0.88
261,Chappell Roan,pop,0.89
262,Ariana Grande,pop,0.92
263,Lana Del Rey,pop,0.92
264,Rihanna,pop,0.92
265,Noah Kahan,pop,0.86
266,Lady Gaga,pop,0.92
267,Charli xcx,pop,0.88
268,Justin Bieber,pop,0.91
269,Olivia Rodrigo,pop,0.89
270,One Direction,pop,0.91
271,Coldplay,pop,0.92
272,Hozier,pop,0.86
273,Jelly Roll,pop,0.83
274,Nicki Minaj,pop,0.87
275,Feid,pop,0.92
276,Kali Uchis,pop,0.86
277,Rauw Alejandro,pop,0.9
278,Doja Cat,pop,0.87
279,Beyoncé,pop,0.87
280,Megan Thee Stallion,pop,0.83
281,Imagine Dragons,pop,0.89
282,Lil Durk,pop,0.82
283,Ed Sheeran,pop,0.89
284,Benson Boone,pop,0.86
285,Khalid,pop,0.85
286,The Neighbourhood,pop,0.86
287,Tate McRae,pop,0.85
288,Jimin,pop,0.89
289,David Guetta,pop,0.9
290,Cigarettes After Sex,pop,0.86
291,Ty Dolla $ign,pop,0.84
292,JAY-Z,pop,0.85
293,Dua Lipa,pop,0.88
294,Clairo,pop,0.82
295,Katy Perry,pop,0.86
296,Maroon 5,pop,0.87
297,Pitbull,pop,0.86
298,Halsey,pop,0.84
299,Marshmello,pop,0.84
300,Snoop Dogg,pop,0.84
301,Genki Rockets,rock,0.22
302,Gene Rockwell,rock,0.25
303,Linkin Park,rock,0.92
304,Hozier,rock,0.86
305,Imagine Dragons,rock,0.89
306,Arctic Monkeys,rock,0.88
307,The Beatles,rock,0.86
308,The Neighbourhood,rock,0.86
309,Fleetwood Mac,rock,0.83
310,Deftones,rock,0.81
311,Radiohead,rock,0.84
312,Twenty One Pilots,rock,0.83
313,Nirvana,rock,0.83
314,Mac DeMarco,rock,0.82
315,Green Day,rock,0.83
316,Red Hot Chili Peppers,rock,0.84
317,Metallica,rock,0.84
318,Queen,rock,0.86
319,Creedence Clearwater Revival,rock,0.82
320,Fall Out Boy,rock,0.8
321,Elton John,rock,0.84
322,OneRepublic,rock,0.84
323,System Of A Down,rock,0.82
324,Luke Bryan,rock,0.77
325,Tame Impala,rock,0.81
326,AC/DC,rock,0.83
327,The Lumineers,rock,0.79
328,Paramore,rock,0.8
329,Nickelback,rock,0.8
330,Slipknot,rock,0.81
331,Dominic Fike,rock,0.79
332,Alex G,rock,0.78
333,My Chemical Romance,rock,0.8
334,Gorillaz,rock,0.81
335,blink-182,rock,0.8
336,The Smiths,rock,0.8
337,Bon Iver,rock,0.79
338,Billy Joel,rock,0.79
339,Jason Aldean,rock,0.74
340,Three Days Grace,rock,0.78
341,Korn,rock,0.78
342,The Rolling Stones,rock,0.8
343,Daft Punk,rock,0.82
344,Thomas Rhett,rock,0.75
345,Pierce The Veil,rock,0.75
346,Jon Pardi,rock,0.74
347,Cage The Elephant,rock,0.76
348,Weezer,rock,0.76
349,Pink Floyd,rock,0.8
350,Bring Me The Horizon,rock,0.8
351,Drake,hip-hop,0.96
352,"Tyler, The Creator",hip-hop,0.95
353,Future,hip-hop,0.93
354,Kanye West,hip-hop,0.93
355,Kendrick Lamar,hip-hop,0.92
356,Eminem,hip-hop,0.93
357,$uicideboy$,hip-hop,0.87
358,Lil Wayne,hip-hop,0.88
359,21 Savage,hip-hop,0.89
360,Lil Uzi Vert,hip-hop,0.88
361,Frank Ocean,hip-hop,0.89
362,Playboi Carti,hip-hop,0.9
363,XXXTENTACION,hip-hop,0.89
