song_id,instrument,confidence_score
1832,instrument al,0.927
1833,instrument al,0.961
1834,instrument al,0.904
1835,instrument al,0.95
1836,instrument al,0.926
1837,instrument al,0.904
1838,instrument al,0.956
1839,instrument al,0.957
1840,instrument al,0.946
1841,instrument al,0.898
1842,instrument al,0.882
1843,instrument al,0.937
1844,instrument al,0.942
1845,instrument al,0.891
1846,instrument al,0.888
1847,instrument al,0.898
1848,instrument al,0.938
1849,instrument al,0.903
1850,instrument al,0.874
1851,instrument al,0.871
1852,instrument al,0.868
1853,instrument al,0.857
1854,instrument al,0.875
1855,instrument al,0.938
1856,instrument al,0.953
1857,instrument al,0.948
1858,instrument al,0.908
1859,instrument al,0.938
1860,instrument al,0.908
1861,instrument al,0.938
1862,instrument al,0.953
1863,instrument al,0.943
1864,instrument al,0.905
1865,instrument al,0.926
1866,instrument al,0.937
1867,instrument al,0.978
1868,instrument al,0.879
1869,instrument al,0.943
1870,instrument al,0.872
1871,instrument al,0.731
1872,instrument al,0.96
1874,instrument al,0.823
1875,instrument al,0.928
1876,instrument al,0.743
1879,instrument al,0.936
1881,instrument al,0.506
1882,instrument al,0.946
1883,instrument al,0.982
1884,instrument al,0.896
1885,instrument al,0.89
1886,instrument al,0.872
1887,instrument al,0.95
1888,instrument al,0.91
1895,instrument al,0.934
1896,instrument al,0.933
1897,instrument al,0.838
1898,instrument al,0.928
1899,instrument al,0.869
1900,instrument al,0.871
1901,instrument al,0.879
1902,instrument al,0.856
1911,instrument al,0.838
1912,instrument al,0.506
1914,instrument al,0.97
1916,instrument al,0.878
1917,instrument al,0.878
1919,instrument al,0.847
1920,instrument al,0.926
1921,instrument al,0.973
1922,instrument al,0.919
1923,instrument al,0.939
1924,instrument al,0.927
1925,instrument al,0.692
1926,instrument al,0.905
1927,instrument al,0.9
1928,instrument al,0.781
1929,instrument al,0.909
1931,instrument al,0.835
1933,instrument al,0.944
1935,instrument al,0.832
1936,instrument al,0.903
1937,instrument al,0.885
1938,instrument al,0.936
1939,instrument al,0.922
1940,instrument al,0.92
1941,instrument al,0.936
1942,instrument al,0.916
1944,instrument al,0.889
1945,instrument al,0.927
1946,instrument al,0.737
1947,instrument al,0.897
1948,instrument al,0.905
1949,instrument al,0.912
1950,instrument al,0.865
1951,instrument al,0.891
1952,instrument al,0.91
1953,instrument al,0.918
1954,instrument al,0.958
1955,instrument al,0.856
1956,instrument al,0.891
1957,instrument al,0.911
1958,instrument al,0.91
1960,instrument al,0.892
1961,instrument al,0.897
1962,instrument al,0.914
1963,instrument al,0.868
1964,instrument al,0.912
1965,instrument al,0.692
1966,instrument al,0.926
1967,instrument al,0.9
1968,instrument al,0.897
1971,instrument al,0.664
1972,instrument al,0.865
1973,instrument al,0.888
1974,instrument al,0.684
1976,instrument al,0.591
1978,instrument al,0.946
1979,instrument al,0.775
1980,instrument al,0.865
1981,instrument al,0.799
1982,instrument al,0.913
1983,instrument al,0.915
1984,instrument al,0.969
1985,instrument al,0.912
1986,instrument al,0.829
1987,instrument al,0.904
1988,instrument al,0.925
1989,instrument al,0.978
1990,instrument al,0.937
1991,instrument al,0.852
1993,instrument al,0.862
1994,instrument al,0.86
1995,instrument al,0.952
1998,instrument al,0.895
1999,instrument al,0.921
2000,instrument al,0.961
2001,instrument al,0.927
2002,instrument al,0.962
2003,instrument al,0.923
2004,instrument al,0.872
2005,instrument al,0.872
2006,instrument al,0.855
2034,instrument al,0.879
2132,instrument al,0.503
2311,instrument al,0.566
2312,instrument al,0.814
2313,instrument al,0.837
2314,instrument al,0.654
2315,instrument al,0.761
2316,instrument al,0.697
2318,instrument al,0.883
2405,instrument al,0.737
2473,instrument al,0.827
2485,instrument al,0.756
2499,instrument al,0.653
2506,instrument al,0.914
2507,instrument al,0.833
2546,instrument al,0.823
2596,instrument al,0.635
2597,instrument al,0.847
2640,instrument al,0.734
2644,instrument al,0.713
2647,instrument al,0.718
2651,instrument al,0.929
2664,instrument al,0.509
2722,instrument al,0.765
2741,instrument al,0.619
2784,instrument al,0.728
2787,instrument al,0.896
3041,instrument al,0.732
3131,instrument al,0.895
3134,instrument al,0.882
3163,instrument al,0.756
3306,instrument al,0.912
3307,instrument al,0.939
3309,instrument al,0.897
3332,instrument al,0.831
3350,instrument al,0.907
3353,instrument al,0.503
3356,instrument al,0.924
3358,instrument al,0.885
3359,instrument al,0.787
3360,instrument al,0.89
